subject,day_of_study,date,day,month,year,work_month,minmonthtemp,circ,group,season,sex,sex_state,pregnant,fgc,exc,soc,tac,excs,socs,tacs,rank,ranks,rankf
WAN,1,29/09/2013,29,9,2013,1,11.01,afternoon,Blue,1,Female,2,0,4340.32,0.57,0.61,0.75,-0.653861042,-1.814108024,-0.223854573,925,-0.196425213,low
ROC,1,29/09/2013,29,9,2013,1,11.01,morning,Blue,1,Male,NA,NA,2091.35,3.42,1.54,0.23,0.863526878,1.001336618,-1.320669455,1058,0.383793826,high
MAC,10,09/10/2013,9,10,2013,1,11.01,morning,Green,1,Male,NA,NA,1289.1,2.3,1.37,0.38,-0.209833771,0.514011644,-0.418640067,826,-1.150475831,low
HEL,10,09/10/2013,9,10,2013,1,11.01,morning,Green,1,Female,2,0,1182.42,0.58,1.04,0.69,-0.633083419,-0.511602212,-0.621472564,994,-0.019055011,low
KRI,10,09/10/2013,9,10,2013,1,11.01,afternoon,Green,1,Female,1,0,1289.13,0.98,1.54,0.8,0.19802147,1.00293943,0.107493753,1021,0.066692539,high
JOA,10,09/10/2013,9,10,2013,1,11.01,afternoon,Green,1,Female,2,0,2035.75,0.6,0.57,0.79,-0.591528175,-1.935271355,0.041224088,1123,0.390627731,high
DAN,11,10/10/2013,10,10,2013,1,11.01,afternoon,Green,1,Female,2,0,1623.17,1.44,0.98,0.62,1.153792093,-0.693347209,-1.085360221,813,-0.593881184,low
LEW,11,10/10/2013,10,10,2013,1,11.01,morning,Green,1,Male,NA,NA,1467.91,3.51,1.28,0.39,0.949779073,0.256016069,-0.358504775,956,-0.290924923,low
REB,11,10/10/2013,10,10,2013,1,11.01,afternoon,Green,1,Female,0,0,2157.23,1.48,1.67,0.82,1.236902582,1.396720257,0.240033083,914,-0.273121828,low
KER,11,10/10/2013,10,10,2013,1,11.01,morning,Green,1,Female,1,0,1798.08,1.28,1.19,0.83,0.821350137,-0.057239719,0.306302748,973,-0.085747551,low
PEN,12,11/10/2013,11,10,2013,1,11.01,morning,Blue,1,Female,1,0,1428.21,0.66,0.54,0.48,-0.466862441,-2.026143853,-2.013135534,863,-0.358803389,low
NIC,12,11/10/2013,11,10,2013,1,11.01,afternoon,Blue,1,Female,2,0,1396.04,0.81,1.09,0.53,-0.155198108,-0.360148048,-1.681787208,914,-0.225234244,low
NOD,12,11/10/2013,11,10,2013,1,11.01,afternoon,Green,1,Male,NA,NA,2212.05,2.82,1.2,0.34,0.288512244,0.026686669,-0.659181237,1065,0.429775454,high
DAK,13,12/10/2013,12,10,2013,1,11.01,afternoon,Green,1,Female,2,0,995.73,1.58,1.29,0.76,1.444678804,0.245668609,-0.157584908,882,-0.374748555,low
ANN,13,12/10/2013,12,10,2013,1,11.01,afternoon,Green,1,Female,2,0,1904.82,1.03,1.48,0.65,0.301909581,0.821194433,-0.886551225,1280,0.889233859,high
ART,13,12/10/2013,12,10,2013,1,11.01,afternoon,Green,1,Male,NA,NA,1870.81,2.31,1.36,0.41,-0.200250194,0.485345469,-0.238234189,1173,1.143863901,high
GEO,14,13/10/2013,13,10,2013,1,11.01,morning,Green,1,Male,NA,NA,2609.52,2.53,0.88,0.36,0.010588505,-0.890630929,-0.538910652,946,-0.357044223,low
CAS,14,13/10/2013,13,10,2013,1,11.01,afternoon,Blue,1,Male,NA,NA,495.66,4.32,0.72,0.38,1.726048828,-1.349289729,-0.418640067,963,-0.244833992,low
SIM,14,13/10/2013,13,10,2013,1,11.01,afternoon,Green,1,Male,NA,NA,1519.03,4.5,1.66,0.61,1.898553218,1.345330717,0.964471661,1000,0,high
OZZ,14,13/10/2013,13,10,2013,1,11.01,morning,Green,1,Male,NA,NA,3401.54,0.95,1.46,0.09,-1.503616697,0.772007218,-2.16256355,1034,0.224805622,high
ROC,14,13/10/2013,13,10,2013,1,11.01,morning,Blue,1,Male,NA,NA,1955.24,3.42,1.54,0.23,0.863526878,1.001336618,-1.320669455,1058,0.383793826,high
DAK,16,15/10/2013,15,10,2013,1,11.01,afternoon,Green,1,Female,3,0,1083.91,1.58,1.29,0.76,1.444678804,0.245668609,-0.157584908,882,-0.374748555,low
PEN,16,15/10/2013,15,10,2013,1,11.01,afternoon,Blue,1,Female,1,0,2347.91,0.66,0.54,0.48,-0.466862441,-2.026143853,-2.013135534,863,-0.358803389,low
NIC,16,15/10/2013,15,10,2013,1,11.01,morning,Blue,1,Female,2,0,1343.3,0.81,1.09,0.53,-0.155198108,-0.360148048,-1.681787208,914,-0.225234244,low
KRI,16,15/10/2013,15,10,2013,1,11.01,afternoon,Green,1,Female,1,0,1303,0.98,1.54,0.8,0.19802147,1.00293943,0.107493753,1021,0.066692539,high
ROC,16,15/10/2013,15,10,2013,1,11.01,morning,Blue,1,Male,NA,NA,1702.43,3.42,1.54,0.23,0.863526878,1.001336618,-1.320669455,1058,0.383793826,high
DAN,17,16/10/2013,16,10,2013,1,11.01,morning,Green,1,Female,2,0,2512.28,1.44,0.98,0.62,1.153792093,-0.693347209,-1.085360221,813,-0.593881184,low
ISA,17,16/10/2013,16,10,2013,1,11.01,afternoon,Blue,1,Male,NA,NA,1631.75,3.92,1.29,0.48,1.342705739,0.284682244,0.182712858,932,-0.449965175,low
PEN,17,16/10/2013,16,10,2013,1,11.01,afternoon,Blue,1,Female,1,0,2477.15,0.66,0.54,0.48,-0.466862441,-2.026143853,-2.013135534,863,-0.358803389,low
REB,17,16/10/2013,16,10,2013,1,11.01,afternoon,Green,1,Female,0,0,1920.73,1.48,1.67,0.82,1.236902582,1.396720257,0.240033083,914,-0.273121828,low
