subject,group,sex,season,minseasontemp,pregnant,no_of_samples,correction_term,fgc_mean,fgc_sd,fgccv,elo,elos,rankf,excs,socs,tacs
ANN,green,female,1,6.44,0,15,4.75,1307.17,526.91,191.4684275,1481,1.391282815,high,0.301909581,0.821194433,-0.886551225
ANN,green,female,2,4.89,1,7,2.75,1560.95,517.77,91.21815319,1550,1.590863925,high,0.717462026,0.920721455,-1.397774357
ANN,green,female,3,4.72,1,11,3.75,1290.1,579.01,168.3035696,505,-1.431777533,low,0.301909581,-1.390036364,0.306302748
ART,green,male,1,6.44,NA,16,5,1320.84,528.73,200.1478618,1129,0.837203548,high,-0.200250194,0.485345469,-0.238234189
ART,green,male,2,4.89,NA,7,2.75,1445.59,309.87,58.94818467,1190,1.233090496,high,1.323538585,-0.030645681,1.265148123
ART,green,male,3,4.72,NA,13,4.25,1161.03,342.28,125.2936396,1218,1.414809096,high,-0.660261901,0.829339568,0.784065783
CAS,blue,male,1,6.44,NA,8,3,1124.47,611.04,163.0214495,777,-1.347192268,low,1.735632405,-0.998129086,-0.23823419
CAS,blue,male,2,4.89,NA,8,3,1440.75,640.51,133.3704862,906,-0.567874768,low,1.764383137,0.055352844,0.302983443
CAS,blue,male,3,4.72,NA,14,4.5,1382.33,538.92,175.4383713,913,-0.525586221,low,0.700606065,-0.087978031,0.242848151
DAK,green,female,1,6.44,0,15,4.75,977.45,425.16,206.6096448,554,-1.290046019,low,1.444678804,0.245668609,-0.157584908
DAK,green,female,2,4.89,1,7,2.75,1001.98,432.65,118.7448245,500,-1.446239932,low,-1.07534995,-0.381784357,-0.602538375
DAK,green,female,3,4.72,1,13,4.25,1154.31,518.07,190.7465867,994,-0.017354879,low,-1.110968731,0.215377776,0.306302748
DAN,green,female,1,6.44,0,14,4.5,1555.49,394.25,114.0559731,675,-0.940055956,low,0.895555931,-0.801528755,-0.83921575
DAN,green,female,2,4.89,1,7,2.75,1305.85,223.88,47.14737538,874,-0.364452463,low,-0.656829274,-1.28618208,0.363105318
DAN,green,female,3,4.72,1,12,4,1343.51,470.34,140.0344954,935,-0.188011191,low,-0.674638664,-0.299566382,-1.284169216
GEO,green,male,1,6.44,NA,12,4,983.82,697.62,283.636749,995,-0.03244975,low,0.010588505,-0.890630929,-0.538910652
GEO,green,male,2,4.89,NA,8,3,1324.39,368.32,83.43098226,1033,0.214168349,high,-1.149024339,-2.581935252,-0.418640067
GEO,green,male,3,4.72,NA,14,4.5,1080.76,271.02,112.8441205,913,-0.564625648,low,-0.966936372,-1.463954429,-0.71931653
GUL,blue,male,1,6.44,NA,9,3.25,1596.21,426.5,86.8381406,977,-0.138948081,low,1.103116308,-0.059311856,-0.117963604
GUL,blue,male,2,4.89,NA,10,3.5,1570.01,520.38,116.0069738,1076,0.459132791,high,0.639271171,-0.142443763,1.511702823
GUL,blue,male,3,4.72,NA,11,3.75,1242.17,385.45,116.36434,1203,1.226367849,high,1.726048828,0.141351369,2.107042218
HEL,green,female,1,6.44,0,14,4.5,1682.17,762.79,204.056774,891,-0.315280305,low,-0.633083419,-0.511602212,-0.621472564
